City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain(inches),Snow(inches)
169,Solnechnyy,RU,50.72,136.63,69.76,65,100,5.59,overcast clouds,0.0,0
170,Bredasdorp,ZA,-34.53,20.04,46.4,75,88,5.82,overcast clouds,0.0,0
171,Ginir,ET,7.13,40.7,58.23,82,100,6.31,light rain,0.18,0
172,Itoman,JP,26.12,127.67,87.8,70,40,9.17,scattered clouds,0.0,0
173,Semey,KZ,50.41,80.23,57.2,87,0,4.47,clear sky,0.0,0
174,Constitucion,CL,-35.33,-72.42,48.47,73,100,3.85,overcast clouds,0.0,0
175,Saskylakh,RU,71.92,114.08,71.06,67,100,19.82,overcast clouds,0.0,0
176,Carnarvon,AU,-24.87,113.63,59.0,26,0,12.75,clear sky,0.0,0
177,Vardo,NO,70.37,31.11,46.92,88,13,13.73,few clouds,0.0,0
178,Lagoa,PT,39.05,-27.98,68.52,88,8,16.87,clear sky,0.0,0
179,Egvekinot,RU,66.32,-179.17,60.85,42,2,4.47,clear sky,0.0,0
180,Coihaique,CL,-45.58,-72.07,32.0,95,20,8.05,few clouds,0.0,0
181,Santa Vitoria Do Palmar,BR,-33.52,-53.37,45.21,68,100,5.48,overcast clouds,0.0,0
182,San Ramon,US,37.78,-121.98,100.0,7,1,13.87,clear sky,0.0,0
183,Kodiak,US,57.79,-152.41,64.4,63,90,4.7,overcast clouds,0.0,0
184,Tuktoyaktuk,CA,69.45,-133.04,53.6,62,20,8.05,few clouds,0.0,0
185,Sola,VU,-13.88,167.55,80.6,83,75,9.17,broken clouds,0.0,0
186,High Level,CA,58.52,-117.14,73.4,43,75,3.36,broken clouds,0.0,0
187,Tambacounda,SN,13.75,-13.76,78.8,88,40,6.93,thunderstorm,0.0,0
188,Vaxjo,SE,56.88,14.81,48.2,93,0,8.05,clear sky,0.0,0
189,Fevik,NO,58.38,8.68,53.6,71,0,8.05,clear sky,0.0,0
190,La Ronge,CA,55.1,-105.28,77.0,53,75,3.36,broken clouds,0.0,0
191,San Felipe,VE,10.34,-68.74,72.41,93,97,2.37,overcast clouds,0.0,0
192,Muros,ES,42.78,-9.06,69.01,73,0,7.0,clear sky,0.0,0
193,Fort-Shevchenko,KZ,44.51,50.26,83.46,57,62,14.2,broken clouds,0.0,0
194,Asyut,EG,27.18,31.18,79.92,30,0,9.8,clear sky,0.0,0
195,Cabo San Lucas,MX,22.89,-109.91,93.0,62,5,16.11,clear sky,0.0,0
196,Khandyga,RU,62.67,135.6,80.69,48,100,2.89,overcast clouds,0.0,0
197,Bilibino,RU,68.05,166.44,59.02,86,100,3.69,light rain,0.79,0
198,George,ZA,-33.96,22.46,48.2,66,0,3.36,clear sky,0.0,0
199,Svetlaya,RU,46.54,138.33,61.99,75,90,7.23,overcast clouds,0.0,0
200,Santomera,ES,38.06,-1.05,77.0,86,2,1.48,clear sky,0.0,0
201,Kirkenes,NO,69.73,30.05,46.4,93,49,10.29,scattered clouds,0.0,0
202,Lethem,GY,3.38,-59.8,77.23,83,90,5.7,light rain,0.57,0
